,country,pca1,pca2,pca3,pca4,pca5,pca6,cluster
107,Myanmar,-1.8371977355130824,-1.6136689946078042,1.0094894405579509,-1.1232169197628155,-1.3654543795760337,0.6593128747575797,Could need help
108,Namibia,-1.0433747144410415,1.0028411182967996,-0.7325353558254004,0.09148283586439013,-0.22344811990307206,0.4367808005082536,Need help
109,Nepal,-1.307089846849572,-0.7890486310126491,0.3898110566366991,-0.7536994303896669,0.30571430653092424,0.35016383123386896,Could need help
110,Netherlands,3.379157271709732,0.11570244168414444,-0.7381300239789675,1.5430351981540311,0.37006176449631906,-0.12744091488759934,Dont need help
111,New Zealand,1.8157466593464626,-1.5847236873694537,-0.26135500202597156,0.7356521660821314,0.05515790520456893,-0.2987155738894089,Dont need help
112,Niger,-3.450167737011517,0.969922452257614,-0.5814521327000942,1.1265809061168506,-1.2567555137682316,-1.1861247590854118,Need help
113,Nigeria,-4.9120661452686765,-0.09449868457583285,6.110158266322895,2.4124213995796575,5.342700398707406,0.26275103408550643,Need help
114,Norway,3.721195131644584,-1.4472549790076852,0.8880290586053594,2.764338525752123,-0.7720317499522605,0.08019547718346345,Dont need help
115,Oman,1.1273866523714133,0.49161113599579725,2.1335009145777732,-0.17649248029181008,-0.48416645546597376,-0.25179016818079586,Dont need help
116,Pakistan,-2.360347181921753,-0.4793996460991704,1.0135553963177366,-0.42170993791114897,-1.0988116011277165,0.1594894062514183,Need help
117,Panama,1.1637842932406421,1.1152762035505936,-0.7901192638794243,-0.5451944083522771,0.5493718962032021,-0.5706453581416013,Could need help
118,Paraguay,0.11784622431902902,0.3610311400908274,-0.04667231855957752,-0.9468386294263127,0.1303467110497394,-0.3429431789616563,Could need help
119,Peru,-0.020635451875821092,-1.0866174117971654,0.4043487743105811,-1.0696217221337478,-0.36876486481928816,-0.4119346318261521,Could need help
120,Philippines,-0.7827458706662407,-0.09649809045120934,0.30909404190910905,-1.0823576860552322,-0.726077205909027,-0.14245454659375864,Could need help
121,Poland,1.2178275360138846,-0.6591689610716235,-0.31123231626804065,-0.6951752225749884,-0.05890532043303636,0.22433400627563702,Could need help
122,Portugal,1.8140674832663046,-1.4508865366121564,-0.9424872153120513,0.19379156400514047,0.356755053881378,0.07165324857293254,Dont need help
123,Qatar,4.242296344683003,-0.19560367370629989,3.6438751102329427,2.389810580330576,-2.8421577782527634,0.6010427251684849,Dont need help
124,Romania,0.5727927042682206,-0.6373848425228658,0.08635075898683757,-1.0298392992154193,-0.3148441174629342,0.32829567167720786,Could need help
125,Russia,0.1637615436682755,-1.0666784817397406,1.0905184710877363,-0.6448740771168381,-0.01943529126226352,0.7775154326034861,Could need help
126,Rwanda,-1.6797035613689029,-1.001628621416055,-1.4684359061547176,0.6732207423125883,0.11224191856129849,-0.3284274833373538,Need help
127,Samoa,-0.5628976320853277,-0.022104395997465026,-0.6383905491005262,-0.5326513378831016,-0.2229702685235152,-0.9806680729587508,Need help
128,Saudi Arabia,0.8559358125570665,-0.18344075868103846,1.903072246046113,0.20225895434319557,-0.2445104514507543,-0.13378438988581334,Dont need help
129,Senegal,-1.9121703067898723,0.09155993466113872,-0.5069589755291878,0.0276252708408915,-0.8036549972137419,-0.596472272273727,Need help
130,Serbia,0.8324201868879196,-0.869325996462672,-1.0176928669336591,-0.503134235440058,0.9921691992142977,0.30601591055143124,Could need help
131,Seychelles,1.6025977456332439,2.9391205701258123,-0.38669141677470376,-1.4003711865550112,-0.5176193618581565,-0.17475787460298295,Could need help
132,Sierra Leone,-3.3816247855884822,-0.2363015158737315,-1.3642535596211294,2.581976443482164,1.070576722590418,0.5416709846345931,Need help
133,Singapore,5.783376296512421,6.682090283921615,0.6544200736088024,0.0896376420442245,0.028843200094540583,-0.1766514346148344,Dont need help
134,Slovakia,2.0297236995727914,1.05040744558538,-0.8549784288378486,-0.37144778399305006,0.46807578011282236,0.17878718512296637,Could need help
135,Slovenia,2.2794917064380367,0.1952752262626322,-0.8015354440329399,-0.0673604955777159,0.24275132723415133,-0.1085732699013845,Dont need help
136,Solomon Is.,-0.8062091357080181,1.303490588708545,-1.2292269922654475,-0.04236187530190928,0.7739274953203641,-0.2938525543113346,Need help
137,South Africa,-1.1918373558294253,-0.5567571642158564,-0.717965953357882,0.5502059825775254,-0.036870736618552086,1.3570338947537155,Need help
138,South Korea,1.9180624515345313,-0.42746824472560885,0.14074199309436827,-0.47225295480121465,-0.12817489256609704,0.10995398329830142,Dont need help
139,Spain,2.0191972111273913,-1.7843824558891743,-0.38031649800196893,0.2643890543724605,-0.1947439778833851,0.006295970317912107,Dont need help
140,Sri Lanka,-0.5755721548711329,-0.9975514782350932,1.7522407174483134,-1.3780303936603562,0.4659251563078403,0.05121910477743696,Need help
141,St. Vincent and the Grenadines,0.026623465166130535,-0.01606408150992251,-0.038546334299201374,-1.2248423201012806,-0.26773382170457954,0.20264088815799292,Could need help
142,Sudan,-2.319423867296233,-0.7694073280346776,0.7327400733564332,0.4920830433166609,0.25237755312138405,-0.44968913516924686,Need help
143,Suriname,0.17167473056172197,-0.09480764089342507,0.01202645500202904,-0.376833833673776,0.11010412364795216,0.11332922941925022,Could need help
144,Sweden,2.818322857017712,-0.9144809676023491,-0.10180716960616319,1.242279312795807,-0.3315567767218933,-0.22433026844142184,Dont need help
145,Switzerland,4.088544125700128,-0.42946190887019947,-0.2615471087167798,2.3070867062181386,-0.19312199865663762,0.036672341949073865,Dont need help
146,Tajikistan,-1.2444643640093276,-0.028917431631789916,-0.14815939226887545,-0.48104592410803915,0.42306493168538356,-0.21111279771352046,Could need help
147,Tanzania,-2.5540491881613625,-0.21502795550980014,-0.0884904656744708,0.46222644145102887,-0.474936781178211,-0.3625610600034933,Need help
148,Thailand,0.9260927074506528,0.8282306552663845,0.3420156086009239,-1.595199384040042,-0.18381301209996542,0.02775067794762624,Could need help
149,Timor-Leste,-2.371970474867686,-1.1775129456893192,0.39892283200713907,1.1580450105119502,1.320780234092498,-1.4520187857209137,Need help
150,Togo,-1.997642247801407,0.9583615863528229,-1.2180366100923097,0.5609166061691686,-0.3894741393454871,-0.08724245518704092,Need help
151,Tonga,-0.7550085380741276,-0.08789385675039048,-0.4232876926740933,-0.854637175414484,-0.28434235021801985,-0.633096555805965,Could need help
152,Tunisia,0.6022316119482035,0.1734357079648464,-0.2431582059861672,-1.1179372143961224,0.1367537749247242,-0.2541546554627047,Could need help
153,Turkey,0.40143770458077555,-1.4119897338384415,0.2256852638952891,-0.5632947822750947,-0.07994336449647593,-0.14545919700538754,Could need help
154,Turkmenistan,-0.4639361653924416,1.2918734692462959,0.5992383442439535,-0.9398341717946824,-1.0834407858612065,0.1698874897650387,Could need help
155,Uganda,-2.8548362403035807,-0.3520823821824608,-0.700859396035954,1.296270500764408,0.050261401217628406,-0.48989812376869785,Need help
156,Ukraine,0.30229979978487836,-0.09757106690803805,-0.09063755867783194,-0.879675120381818,1.072643140840759,0.5605226947400734,Could need help
157,United Arab Emirates,2.427141252940284,1.1518130739301626,1.828538109341986,0.2760802228071415,-0.46654154437806283,0.26389101044110463,Dont need help
158,United Kingdom,2.0679899333170892,-1.5353134941962445,-0.25277201484787826,0.7915244031143583,-0.23530090522742952,-0.11510525278950162,Dont need help
159,United States of America,2.6412058310387394,-2.997364459819456,-1.7218778611223255,2.8271102706357656,0.8186560834103181,0.19043090431246626,Dont need help
160,Uruguay,0.6173125975107286,-1.430477232944297,-0.2444366398678844,-0.35871759342836895,0.11328564517378838,-0.05904180998109659,Could need help
161,Uzbekistan,-0.8535289439327003,-0.6544851120419408,0.6198846672515522,-0.7221828722006192,0.5082124369099945,0.38875989843479725,Could need help
162,Vanuatu,-0.8206311312965879,0.6395700721266833,-0.3899231521901496,-0.7065952414225086,-0.3957476811523524,0.00905920727134763,Could need help
163,Venezuela,-0.551035564095244,-1.2338861818339915,3.101350058947438,-0.11531102545307073,2.082580702700806,0.09727355222179686,Need help
164,Vietnam,0.4985243854930954,1.390744315634251,-0.2385261125601745,-1.0740979126663395,1.1760806687329197,0.05160677146469763,Could need help
165,Yemen,-1.8874510567821314,-0.10945301487766486,1.1097515908443154,0.05625677486977055,0.6183653218635895,-0.5409171861159241,Need help
166,Zambia,-2.8640639181248813,0.4859979854996447,0.22316658140449608,0.816364357551233,-0.27406772898678866,0.20137816033005507,Need help
