,country,pca1,pca2,pca3,pca4,pca5,cluster
140,Sri Lanka,-0.13800737328419208,0.0559408515685774,-1.779502727270341,0.8888522957188604,0.010814574866644422,Could need help
141,St. Vincent and the Grenadines,-0.08768235648607868,-0.05488842863875687,-1.2164709323889082,0.4640569037389654,0.2820566292648522,Could need help
142,Sudan,-1.9569635183611425,-0.150554269586934,0.27625422965097735,0.35101702294422316,-0.5123537813473175,Need help
143,Suriname,0.21094301109008937,0.041168876066954234,-0.35192648007426575,-0.5199720244068141,0.06592012085514175,Could need help
144,Sweden,2.8419428244388354,-0.4928755037851821,1.1661001761749215,0.5441554058545213,-0.18716097719366978,Dont need help
145,Switzerland,4.040839819919658,-0.3389322247857413,2.2829494419828165,0.3159121012273024,0.06250200960618313,Dont need help
146,Tajikistan,-1.2589528329531865,-0.5041101198284358,-0.5244047609449327,0.41380270855116785,-0.17677956477996756,Need help
147,Tanzania,-2.482058369314682,0.032917909612043994,0.4626424753016236,0.3244669339239875,-0.335180846881014,Need help
148,Thailand,0.7786779015814943,0.866116775506949,-1.511444114751314,-0.40930669793232655,0.03320582544289695,Could need help
149,Timor-Leste,-1.9401398929777505,-1.2450417060839345,0.8490042743479508,0.5225954674076505,-1.5429381077992796,Need help
150,Togo,-2.2845302205568805,0.1248467645006699,0.86297946622331,-0.5895548096431722,-0.04854896601090848,Need help
151,Tonga,-0.9217121102963994,-0.3974832587970754,-0.8227956112217828,0.7412415163739654,-0.5170992463446263,Need help
152,Tunisia,0.4835509905982055,-0.05108494312882908,-1.037508343534869,-0.3982825080405374,-0.25532855006129296,Could need help
153,Turkey,0.5756485959929211,-0.7390284823858243,-0.7275526694682236,0.5795792465648268,-0.13410434834562032,Could need help
154,Turkmenistan,-0.5938049920647789,1.8653392507434041,-0.7875702858446748,-0.49409430761761697,0.18079263235573695,Could need help
155,Uganda,-2.7755006703433343,-0.6005186151505035,1.348020689269193,-0.1301033922904098,-0.5097159458008753,Need help
156,Ukraine,0.3736855412076563,-0.5435411004080571,-0.8942084572262147,-0.805218494261598,0.4700644971854864,Could need help
157,United Arab Emirates,2.4855818635190006,1.9221539546921225,0.10686767307756602,0.643190902984576,0.2677622755069156,Dont need help
158,United Kingdom,2.1563199053894584,-1.0297459101028517,0.6764161156446971,0.6628800938549262,-0.07836163014782697,Dont need help
159,United States of America,2.8367746082858143,-3.1850878751101517,2.734545118402568,0.03539252428863575,0.134711840278135,Dont need help
160,Uruguay,0.7465260506128635,-1.0313446332626897,-0.44406565559809485,0.10543428567211939,-0.07260215003926403,Could need help
161,Uzbekistan,-0.5872528764378142,-0.2377763967463441,-0.885867628024293,-0.08364867066492193,0.31939214962728324,Could need help
162,Vanuatu,-0.9997364188063048,0.41395837930546503,-0.5370544314790415,-0.3818334002219215,0.04433352920256553,Need help
163,Venezuela,0.3793255575491431,-0.03796665115047051,-0.8546172610900712,0.6767134349669013,-0.1280281524626963,Could need help
164,Vietnam,0.3305464150621271,0.24758077305108891,-0.9244230709175772,-1.30486827105395,-0.03373170538246128,Could need help
165,Yemen,-1.5571858103692438,0.24777472450238036,-0.17906672135594146,0.272891940889133,-0.6150980428294666,Need help
166,Zambia,-2.749217254131351,0.6566293807318703,0.8432625435387936,-0.21773282320717408,0.1683302778220004,Need help
